File	Individual
20251114_GM0038_bgal_sensitivity2-02-Scene-143-P6-D11.czi	D11
20251114_GM0038_bgal_sensitivity2-02-Scene-144-P1-E11.czi	E11
20251114_GM0038_bgal_sensitivity2-02-Scene-145-P2-E11.czi	E11
20251114_GM0038_bgal_sensitivity2-02-Scene-146-P3-E11.czi	E11
20251114_GM0038_bgal_sensitivity2-02-Scene-147-P6-E11.czi	E11
20251114_GM0038_bgal_sensitivity2-02-Scene-148-P4-E11.czi	E11
20251114_GM0038_bgal_sensitivity2-02-Scene-149-P5-E11.czi	E11
20251114_GM0038_bgal_sensitivity2-02-Scene-150-P1-E10.czi	E10
20251114_GM0038_bgal_sensitivity2-02-Scene-151-P2-E10.czi	E10
20251114_GM0038_bgal_sensitivity2-02-Scene-152-P3-E10.czi	E10
20251114_GM0038_bgal_sensitivity2-02-Scene-153-P4-E10.czi	E10
20251114_GM0038_bgal_sensitivity2-02-Scene-154-P5-E10.czi	E10
20251114_GM0038_bgal_sensitivity2-02-Scene-155-P6-E10.czi	E10
20251114_GM0038_bgal_sensitivity2-02-Scene-156-P1-E09.czi	E09
20251114_GM0038_bgal_sensitivity2-02-Scene-157-P2-E09.czi	E09
20251114_GM0038_bgal_sensitivity2-02-Scene-158-P3-E09.czi	E09
20251114_GM0038_bgal_sensitivity2-02-Scene-159-P4-E09.czi	E09
20251114_GM0038_bgal_sensitivity2-02-Scene-160-P5-E09.czi	E09
20251114_GM0038_bgal_sensitivity2-02-Scene-161-P6-E09.czi	E09
20251114_GM0038_bgal_sensitivity2-02-Scene-162-P1-E08.czi	E08
20251114_GM0038_bgal_sensitivity2-02-Scene-163-P2-E08.czi	E08
20251114_GM0038_bgal_sensitivity2-02-Scene-164-P3-E08.czi	E08
20251114_GM0038_bgal_sensitivity2-02-Scene-165-P4-E08.czi	E08
20251114_GM0038_bgal_sensitivity2-02-Scene-166-P5-E08.czi	E08
20251114_GM0038_bgal_sensitivity2-02-Scene-167-P6-E08.czi	E08
20251114_GM0038_bgal_sensitivity2-02-Scene-168-P3-E07.czi	E07
20251114_GM0038_bgal_sensitivity2-02-Scene-169-P4-E07.czi	E07
20251114_GM0038_bgal_sensitivity2-02-Scene-170-P5-E07.czi	E07
20251114_GM0038_bgal_sensitivity2-02-Scene-172-P3-E06.czi	E06
20251114_GM0038_bgal_sensitivity2-02-Scene-173-P4-E06.czi	E06
20251114_GM0038_bgal_sensitivity2-02-Scene-174-P1-E06.czi	E06
20251114_GM0038_bgal_sensitivity2-02-Scene-175-P4-E05.czi	E05
20251114_GM0038_bgal_sensitivity2-02-Scene-176-P3-E05.czi	E05
20251114_GM0038_bgal_sensitivity2-02-Scene-177-P6-E05.czi	E05
20251114_GM0038_bgal_sensitivity2-02-Scene-178-P5-E05.czi	E05
20251114_GM0038_bgal_sensitivity2-02-Scene-179-P1-E04.czi	E04
20251114_GM0038_bgal_sensitivity2-02-Scene-180-P3-E04.czi	E04
20251114_GM0038_bgal_sensitivity2-02-Scene-181-P4-E04.czi	E04
20251114_GM0038_bgal_sensitivity2-02-Scene-182-P2-E04.czi	E04
20251114_GM0038_bgal_sensitivity2-02-Scene-183-P5-E04.czi	E04
20251114_GM0038_bgal_sensitivity2-02-Scene-184-P6-E04.czi	E04
20251114_GM0038_bgal_sensitivity2-02-Scene-185-P1-E03.czi	E03
20251114_GM0038_bgal_sensitivity2-02-Scene-186-P2-E03.czi	E03
20251114_GM0038_bgal_sensitivity2-02-Scene-187-P4-E03.czi	E03
20251114_GM0038_bgal_sensitivity2-02-Scene-188-P3-E03.czi	E03
20251114_GM0038_bgal_sensitivity2-02-Scene-189-P5-E03.czi	E03
20251114_GM0038_bgal_sensitivity2-02-Scene-192-P1-F03.czi	F03
20251114_GM0038_bgal_sensitivity2-02-Scene-193-P2-F03.czi	F03
20251114_GM0038_bgal_sensitivity2-02-Scene-194-P3-F03.czi	F03
20251114_GM0038_bgal_sensitivity2-02-Scene-195-P5-F03.czi	F03
20251114_GM0038_bgal_sensitivity2-02-Scene-196-P4-F03.czi	F03
20251114_GM0038_bgal_sensitivity2-02-Scene-197-P1-F04.czi	F04
20251114_GM0038_bgal_sensitivity2-02-Scene-198-P2-F04.czi	F04
20251114_GM0038_bgal_sensitivity2-02-Scene-199-P6-F04.czi	F04
20251114_GM0038_bgal_sensitivity2-02-Scene-200-P3-F04.czi	F04
20251114_GM0038_bgal_sensitivity2-02-Scene-201-P4-F04.czi	F04
20251114_GM0038_bgal_sensitivity2-02-Scene-202-P5-F04.czi	F04
20251114_GM0038_bgal_sensitivity2-02-Scene-203-P1-F05.czi	F05
20251114_GM0038_bgal_sensitivity2-02-Scene-204-P2-F05.czi	F05
20251114_GM0038_bgal_sensitivity2-02-Scene-205-P3-F05.czi	F05
20251114_GM0038_bgal_sensitivity2-02-Scene-206-P4-F05.czi	F05
20251114_GM0038_bgal_sensitivity2-02-Scene-208-P3-F06.czi	F06
20251114_GM0038_bgal_sensitivity2-02-Scene-209-P4-F06.czi	F06
20251114_GM0038_bgal_sensitivity2-02-Scene-210-P5-F06.czi	F06
20251114_GM0038_bgal_sensitivity2-02-Scene-211-P1-F07.czi	F07
20251114_GM0038_bgal_sensitivity2-02-Scene-212-P2-F07.czi	F07
20251114_GM0038_bgal_sensitivity2-02-Scene-213-P4-F07.czi	F07
20251114_GM0038_bgal_sensitivity2-02-Scene-214-P3-F07.czi	F07
20251114_GM0038_bgal_sensitivity2-02-Scene-215-P1-F08.czi	F08
20251114_GM0038_bgal_sensitivity2-02-Scene-216-P2-F08.czi	F08
20251114_GM0038_bgal_sensitivity2-02-Scene-217-P3-F08.czi	F08
20251114_GM0038_bgal_sensitivity2-02-Scene-218-P4-F08.czi	F08
20251114_GM0038_bgal_sensitivity2-02-Scene-219-P5-F08.czi	F08
20251114_GM0038_bgal_sensitivity2-02-Scene-220-P6-F08.czi	F08
20251114_GM0038_bgal_sensitivity2-02-Scene-221-P1-F09.czi	F09
20251114_GM0038_bgal_sensitivity2-02-Scene-222-P2-F09.czi	F09
20251114_GM0038_bgal_sensitivity2-02-Scene-223-P3-F09.czi	F09
20251114_GM0038_bgal_sensitivity2-02-Scene-224-P4-F09.czi	F09
20251114_GM0038_bgal_sensitivity2-02-Scene-225-P5-F09.czi	F09
20251114_GM0038_bgal_sensitivity2-02-Scene-226-P6-F09.czi	F09
20251114_GM0038_bgal_sensitivity2-02-Scene-227-P1-F10.czi	F10
20251114_GM0038_bgal_sensitivity2-02-Scene-228-P2-F10.czi	F10
20251114_GM0038_bgal_sensitivity2-02-Scene-229-P3-F10.czi	F10
20251114_GM0038_bgal_sensitivity2-02-Scene-230-P4-F10.czi	F10
20251114_GM0038_bgal_sensitivity2-02-Scene-231-P5-F10.czi	F10
20251114_GM0038_bgal_sensitivity2-02-Scene-232-P6-F10.czi	F10
20251114_GM0038_bgal_sensitivity2-02-Scene-233-P1-F11.czi	F11
20251114_GM0038_bgal_sensitivity2-02-Scene-234-P2-F11.czi	F11
20251114_GM0038_bgal_sensitivity2-02-Scene-235-P3-F11.czi	F11
20251114_GM0038_bgal_sensitivity2-02-Scene-236-P4-F11.czi	F11
20251114_GM0038_bgal_sensitivity2-02-Scene-237-P5-F11.czi	F11
20251114_GM0038_bgal_sensitivity2-02-Scene-238-P6-F11.czi	F11
20251114_GM0038_bgal_sensitivity2-02-Scene-239-P1-G11.czi	G11
20251114_GM0038_bgal_sensitivity2-02-Scene-240-P2-G11.czi	G11
20251114_GM0038_bgal_sensitivity2-02-Scene-241-P3-G11.czi	G11
20251114_GM0038_bgal_sensitivity2-02-Scene-242-P4-G11.czi	G11
20251114_GM0038_bgal_sensitivity2-02-Scene-243-P5-G11.czi	G11
20251114_GM0038_bgal_sensitivity2-02-Scene-244-P6-G11.czi	G11
20251114_GM0038_bgal_sensitivity2-02-Scene-245-P2-G10.czi	G10
20251114_GM0038_bgal_sensitivity2-02-Scene-246-P1-G10.czi	G10
20251114_GM0038_bgal_sensitivity2-02-Scene-247-P4-G10.czi	G10
20251114_GM0038_bgal_sensitivity2-02-Scene-248-P3-G10.czi	G10
20251114_GM0038_bgal_sensitivity2-02-Scene-249-P5-G10.czi	G10
20251114_GM0038_bgal_sensitivity2-02-Scene-250-P6-G10.czi	G10
20251114_GM0038_bgal_sensitivity2-02-Scene-251-P1-G09.czi	G09
20251114_GM0038_bgal_sensitivity2-02-Scene-252-P2-G09.czi	G09
20251114_GM0038_bgal_sensitivity2-02-Scene-253-P3-G09.czi	G09
20251114_GM0038_bgal_sensitivity2-02-Scene-254-P4-G09.czi	G09
20251114_GM0038_bgal_sensitivity2-02-Scene-255-P5-G09.czi	G09
20251114_GM0038_bgal_sensitivity2-02-Scene-256-P6-G09.czi	G09
20251114_GM0038_bgal_sensitivity2-02-Scene-257-P1-G08.czi	G08
20251114_GM0038_bgal_sensitivity2-02-Scene-258-P2-G08.czi	G08
20251114_GM0038_bgal_sensitivity2-02-Scene-259-P3-G08.czi	G08
20251114_GM0038_bgal_sensitivity2-02-Scene-260-P4-G08.czi	G08
20251114_GM0038_bgal_sensitivity2-02-Scene-261-P5-G08.czi	G08
20251114_GM0038_bgal_sensitivity2-02-Scene-262-P6-G08.czi	G08
20251114_GM0038_bgal_sensitivity2-02-Scene-263-P3-G07.czi	G07
20251114_GM0038_bgal_sensitivity2-02-Scene-264-P4-G07.czi	G07
20251114_GM0038_bgal_sensitivity2-02-Scene-265-P6-G07.czi	G07
20251114_GM0038_bgal_sensitivity2-02-Scene-266-P5-G07.czi	G07
20251114_GM0038_bgal_sensitivity2-02-Scene-267-P2-G06.czi	G06
20251114_GM0038_bgal_sensitivity2-02-Scene-268-P3-G06.czi	G06
20251114_GM0038_bgal_sensitivity2-02-Scene-269-P4-G06.czi	G06
20251114_GM0038_bgal_sensitivity2-02-Scene-270-P1-G06.czi	G06
20251114_GM0038_bgal_sensitivity2-02-Scene-271-P3-G05.czi	G05
20251114_GM0038_bgal_sensitivity2-02-Scene-272-P4-G05.czi	G05
20251114_GM0038_bgal_sensitivity2-02-Scene-273-P5-G05.czi	G05
20251114_GM0038_bgal_sensitivity2-02-Scene-274-P6-G05.czi	G05
20251114_GM0038_bgal_sensitivity2-02-Scene-275-P1-G04.czi	G04
20251114_GM0038_bgal_sensitivity2-02-Scene-276-P3-G04.czi	G04
20251114_GM0038_bgal_sensitivity2-02-Scene-277-P4-G04.czi	G04
20251114_GM0038_bgal_sensitivity2-02-Scene-278-P5-G04.czi	G04
20251114_GM0038_bgal_sensitivity2-02-Scene-279-P6-G04.czi	G04
20251114_GM0038_bgal_sensitivity2-02-Scene-281-P3-G03.czi	G03
20251114_GM0038_bgal_sensitivity2-02-Scene-282-P2-G03.czi	G03
20251114_GM0038_bgal_sensitivity2-02-Scene-283-P5-G03.czi	G03
20251114_GM0038_bgal_sensitivity2-02-Scene-284-P3-G02.czi	G02
